06/29/22	12:49 AM
Experiment Type:	Generic
Auto Correlation
Scattering angle:	104.0
Duration (s):	900
Wavelength (nm):	660.0
Refractive index:	1.330
Viscosity (mPas):	0.891
Temperature (K):	298.1
Laser intensity (mW):	254.679578
Average Count rate  A (kHz):	121.6
Average Count rate  B (kHz):	121.6
Intercept:	0.9252
Cumulant 1st	16751.41
Cumulant 2nd	18189.97	0.39
Cumulant 3rd	19511.32	1.09

Lag time (s)         g2-1
3.198157	88.596344	0.000000
3.250586	94.318390	0.000000
3.303014	99.811554	0.000000
3.355443	94.356537	0.000000
3.407872	98.285675	0.000000
3.460301	89.626312	0.000000
3.512730	94.642639	0.000000
3.565158	88.653564	0.000000
3.617587	96.626282	0.000000
3.670016	90.599060	0.000000
3.722445	100.154877	0.000000
3.774874	97.026825	0.000000
3.827302	93.421936	0.000000
3.879731	91.304779	0.000000
3.932160	92.945099	0.000000
3.984589	93.879700	0.000000
4.037018	88.081360	0.000000
4.089446	90.332031	0.000000
4.141875	98.800659	0.000000
4.194304	94.051361	0.000000
4.246733	90.713501	0.000000
4.299162	96.206665	0.000000
4.351590	95.787048	0.000000
4.404019	92.601776	0.000000
4.456448	94.013214	0.000000
4.508877	83.160400	0.000000
4.561306	89.015961	0.000000
4.613734	93.803406	0.000000
4.666163	91.400146	0.000000
4.718592	105.648041	0.000000
4.771021	95.901489	0.000000
4.823450	94.871521	0.000000
4.875878	95.748901	0.000000
4.928307	92.449188	0.000000
4.980736	97.942352	0.000000
5.033165	95.615387	0.000000
5.085594	92.353821	0.000000
5.138022	96.759796	0.000000
5.190451	99.811554	0.000000
5.242880	91.133118	0.000000
5.295309	94.089508	0.000000
5.347738	102.710724	0.000000
5.400166	87.585449	0.000000
5.452595	92.201233	0.000000
5.505024	87.261200	0.000000
5.557453	95.291138	0.000000
5.609882	91.075897	0.000000
5.662310	91.934204	0.000000
5.714739	94.776154	0.000000
5.767168	95.195770	0.000000
5.819597	97.370148	0.000000
5.872026	86.879730	0.000000
5.924454	94.776154	0.000000
5.976883	97.045898	0.000000
6.029312	95.634460	0.000000
6.081741	92.735291	0.000000
6.134170	93.536377	0.000000
6.186598	95.195770	0.000000
6.239027	90.999603	0.000000
6.291456	97.427368	0.000000
6.343885	94.032288	0.000000
6.396314	93.231201	0.000000
6.448742	100.345612	0.000000
6.501171	91.114044	0.000000
6.553600	94.966888	0.000000
6.606029	99.201202	0.000000
6.658458	98.018646	0.000000
6.710886	98.094940	0.000000
6.763315	95.939636	0.000000
6.815744	99.544525	0.000000
6.868173	103.378296	0.000000
6.920602	95.996857	0.000000
6.973030	97.675323	0.000000
7.025459	97.084045	0.000000
7.077888	98.915100	0.000000
7.130317	93.383789	0.000000
7.182746	91.857910	0.000000
7.235174	99.506378	0.000000
7.287603	99.830627	0.000000
7.340032	105.285645	0.000000
7.392461	101.261139	0.000000
7.444890	97.484589	0.000000
7.497318	97.045898	0.000000
7.549747	93.612671	0.000000
7.602176	88.443756	0.000000
7.654605	94.680786	0.000000
7.707034	98.628998	0.000000
7.759462	101.375580	0.000000
7.811891	103.378296	0.000000
