------------------------------------------------------------------------
General information
------------------------------------------------------------------------
Input file: 2M_40mis_28d_cpmg.int
Output file: 2M_40mis_28d_cpmg.out
Selected analyzing methods: ['brd', 'contin', 'nnls', 'discrete']
Exp. x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Exp.  points: 2048
Fitting x range: 0.00010016-0.181546
Minimum T  : 0.00010016
Maximum T  : 0.181546
Fitting  points: 2048
Grid points: 400
Grid spaces: log

# Decay data (EXPERIMENTAL)
           time      intensity
   3.068096e-02   8.398848e-01
   3.076960e-02   7.275746e-01
   3.085824e-02   8.008204e-01
   3.094688e-02   8.398848e-01
   3.103552e-02   7.666390e-01
   3.112416e-02   7.226915e-01
   3.121280e-02   7.178085e-01
   3.130144e-02   7.129254e-01
   3.139008e-02   7.861712e-01
   3.147872e-02   6.885102e-01
   3.156736e-02   6.445627e-01
   3.165600e-02   6.543288e-01
   3.174464e-02   7.519898e-01
   3.183328e-02   7.031593e-01
   3.192192e-02   6.347966e-01
   3.201056e-02   7.373407e-01
   3.209920e-02   7.080424e-01
   3.218784e-02   6.201475e-01
   3.227648e-02   7.275746e-01
   3.236512e-02   7.178085e-01
   3.245376e-02   4.785390e-01
   3.254240e-02   6.347966e-01
   3.263104e-02   7.324576e-01
   3.271968e-02   5.469017e-01
   3.280832e-02   5.908492e-01
   3.289696e-02   6.885102e-01
   3.298560e-02   7.031593e-01
   3.307424e-02   6.592119e-01
   3.316288e-02   6.152644e-01
   3.325152e-02   6.982763e-01
   3.334016e-02   6.543288e-01
   3.342880e-02   5.615509e-01
   3.351744e-02   7.031593e-01
   3.360608e-02   6.543288e-01
   3.369472e-02   6.543288e-01
   3.378336e-02   5.127203e-01
   3.387200e-02   6.299136e-01
   3.396064e-02   6.738610e-01
   3.404928e-02   5.762000e-01
   3.413792e-02   6.103814e-01
   3.422656e-02   6.885102e-01
   3.431520e-02   5.420187e-01
   3.440384e-02   4.980712e-01
   3.449248e-02   6.689780e-01
   3.458112e-02   5.908492e-01
   3.466976e-02   6.933932e-01
   3.475840e-02   6.152644e-01
   3.484704e-02   5.176034e-01
   3.493568e-02   6.201475e-01
   3.502432e-02   4.980712e-01
   3.511296e-02   6.640949e-01
   3.520160e-02   6.787441e-01
   3.529024e-02   5.664339e-01
   3.537888e-02   5.420187e-01
   3.546752e-02   5.371356e-01
   3.555616e-02   3.955271e-01
   3.564480e-02   7.178085e-01
   3.573344e-02   5.713170e-01
   3.582208e-02   5.078373e-01
   3.591072e-02   6.787441e-01
   3.599936e-02   5.273695e-01
   3.608800e-02   5.713170e-01
   3.617664e-02   6.494458e-01
   3.626528e-02   5.664339e-01
   3.635392e-02   5.371356e-01
   3.644256e-02   4.150593e-01
   3.653120e-02   4.638898e-01
   3.661984e-02   5.762000e-01
   3.670848e-02   5.469017e-01
   3.679712e-02   5.029542e-01
   3.688576e-02   5.127203e-01
   3.697440e-02   5.713170e-01
   3.706304e-02   5.664339e-01
   3.715168e-02   5.859661e-01
   3.724032e-02   5.420187e-01
   3.732896e-02   4.638898e-01
   3.741760e-02   4.638898e-01
   3.750624e-02   4.345915e-01
   3.759488e-02   4.883051e-01
   3.768352e-02   4.492407e-01
   3.777216e-02   4.590068e-01
   3.786080e-02   5.517848e-01
   3.794944e-02   4.785390e-01
   3.803808e-02   5.176034e-01
   3.812672e-02   4.541237e-01
   3.821536e-02   6.152644e-01
   3.830400e-02   5.127203e-01
   3.839264e-02   4.541237e-01
   3.848128e-02   5.273695e-01
   3.856992e-02   4.443576e-01
   3.865856e-02   4.199424e-01
   3.874720e-02   4.590068e-01
   3.883584e-02   4.931881e-01
   3.892448e-02   5.273695e-01
   3.901312e-02   4.345915e-01
   3.910176e-02   3.662288e-01
   3.919040e-02   5.078373e-01
   3.927904e-02   4.199424e-01
   3.936768e-02   3.711119e-01
   3.945632e-02   3.320475e-01
   3.954496e-02   4.297085e-01
   3.963360e-02   3.466966e-01
   3.972224e-02   4.785390e-01
   3.981088e-02   3.955271e-01
   3.989952e-02   3.173983e-01
   3.998816e-02   4.590068e-01
   4.007680e-02   4.345915e-01
   4.016544e-02   3.662288e-01
   4.025408e-02   4.492407e-01
   4.034272e-02   4.199424e-01
   4.043136e-02   4.638898e-01
   4.052000e-02   4.443576e-01
   4.060864e-02   4.248254e-01
   4.069728e-02   4.150593e-01
   4.078592e-02   3.808780e-01
   4.087456e-02   4.297085e-01
   4.096320e-02   4.834220e-01
   4.105184e-02   3.222814e-01
   4.114048e-02   5.029542e-01
   4.122912e-02   2.246203e-01
   4.131776e-02   4.687729e-01
   4.140640e-02   4.052932e-01
   4.149504e-02   3.076322e-01
   4.158368e-02   3.711119e-01
   4.167232e-02   4.638898e-01
   4.176096e-02   4.248254e-01
   4.184960e-02   3.857610e-01
   4.193824e-02   3.808780e-01
   4.202688e-02   3.613458e-01
   4.211552e-02   5.176034e-01
   4.220416e-02   3.369305e-01
   4.229280e-02   4.101763e-01
   4.238144e-02   3.271644e-01
   4.247008e-02   3.466966e-01
   4.255872e-02   2.148542e-01
   4.264736e-02   3.515797e-01
   4.273600e-02   3.955271e-01
   4.282464e-02   4.052932e-01
   4.291328e-02   3.271644e-01
   4.300192e-02   2.881000e-01
   4.309056e-02   3.320475e-01
   4.317920e-02   3.955271e-01
   4.326784e-02   2.929831e-01
   4.335648e-02   3.711119e-01
   4.344512e-02   2.881000e-01
   4.353376e-02   4.638898e-01
   4.362240e-02   4.101763e-01
   4.371104e-02   2.588017e-01
   4.379968e-02   4.052932e-01
   4.388832e-02   3.711119e-01
   4.397696e-02   3.955271e-01
   4.406560e-02   4.150593e-01
   4.415424e-02   2.832170e-01
   4.424288e-02   3.320475e-01
   4.433152e-02   3.613458e-01
   4.442016e-02   3.271644e-01
   4.450880e-02   1.904390e-01
